"filename", "language", "PHP", "Markdown", "JSON", "XML", "JavaScript", "CSS", "SCSS", "Less", "Ruby", "comment", "blank", "total"
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\Views\errors\index.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\Views\index.php", "PHP", 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 145
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\Views\principal\about.php", "PHP", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 66
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\Views\principal\categorias.php", "PHP", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 90
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\Views\principal\contact.php", "PHP", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 52
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\Views\principal\deseo.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 44
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\Views\principal\detail.php", "PHP", 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 156
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\Views\principal\perfil.php", "PHP", 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 232
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\Views\principal\shop.php", "PHP", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 95
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\Views\template\footer-admin.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\Views\template\footer-principal.php", "PHP", 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 192
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\Views\template\header-admin.php", "PHP", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 88
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\Views\template\header-principal.php", "PHP", 166, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27, 194
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\css\buttons.bootstrap.css", "CSS", 0, 0, 0, 0, 0, 369, 0, 0, 0, 0, 18, 387
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\css\buttons.bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\css\buttons.bootstrap4.css", "CSS", 0, 0, 0, 0, 0, 414, 0, 0, 0, 0, 17, 431
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\css\buttons.bootstrap4.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\css\buttons.bootstrap5.css", "CSS", 0, 0, 0, 0, 0, 416, 0, 0, 0, 0, 17, 433
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\css\buttons.bootstrap5.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\css\buttons.bulma.css", "CSS", 0, 0, 0, 0, 0, 414, 0, 0, 0, 0, 16, 430
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\css\buttons.bulma.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\css\buttons.dataTables.css", "CSS", 0, 0, 0, 0, 0, 541, 0, 0, 0, 0, 20, 561
